,index,Sample ID,DateTime (UTC),Niskin Bottle Number,Vessel,Platform,Total Suspended Solids (mg/L),Note,Observations,Start date of lab analysis,Onshore Lab Sheet Filename,Offshore Lab Sheet Filename,ROV HAIN DateTime (UTC),ROV HAIN Easting (m),ROV HAIN Northing (m),ROV HAIN Depth (m),ROV HAIN Pitch (deg),ROV HAIN Roll (deg),ROV HAIN Heading (deg),Hyperion DateTime (UTC),Hyperion Turbidity Mean (NTU),Hyperion Turbidity stdDev (NTU),Seabird CTD DateTime (UTC),Seabird CTD Temperature (C),Seabird CTD Pressure (dbar),Seabird CTD Conductivity (S/m),Seabird CTD Salinity (PSU),Seabird CTD Turbidity (NTU),Seabird CTD Light Transmission (%),Seabird CTD Beam Attenuation Coefficient,Seabird CTD Oxygen (ml/l),PCV HAIN Easting (m),PCV HAIN Northing (m),PCV HAIN Depth (m),PCV Estimated Spill (kg/s),Riser Beacon Easting (m),Riser Beacon Northing (m),Riser Beacon Depth (m),Riser Discharge Turbidity (NTU),Riser Discharge Flow (m3/hr),Riser Estimated Spill (kg/s)
0,30,HG HTR13 D1 NF,2022-09-22 14:52:00+00:00,6.0,HG,ROV,16.0,,-,2023.10.24,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR1.3_D1_Rev4.xlsx,2022-09-22 14:51:59,478721.4090250876,1141906.591962685,-4283.705274273195,7.17,-1.02,324.19,,,,2022-09-22 14:52:00,1.4981144283044472,4353.326732494928,3.182178743826066,34.68543254713349,2.2736216525520714,95.71905722133212,0.1755181128696338,3.080117595295796,478684.7795747205,1141946.6268568083,4295.979496324626,2.392257219918088,,,,,,
1,34,HG HTR13 D1 NJ,2022-09-22 14:58:00+00:00,10.0,HG,ROV,180.0,,-,2023.10.24,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR1.3_D1_Rev4.xlsx,2022-09-22 14:58:02,478682.8136676675,1141971.621925583,-4282.656377080811,6.78,-0.89,323.31,,,,2022-09-22 14:58:00,1.4983227645176245,4355.289459467619,3.182261360732529,34.68541664061491,1.6376065461203937,67.25480148012512,1.5880825848577926,3.0750766475777835,478653.47528626927,1142013.047002317,4295.911304741421,2.632788476050895,,,,,,
2,35,HG HTR20 D1 NA,2022-09-24 04:23:40.244000+00:00,1.0,HG,ROV,16.0,,-,2023.10.24,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.0_D1_Rev4.xlsx,2022-09-24 04:23:40,478881.0332900506,1141743.9085261608,-4279.286696732669,-0.125,0.45,75.035,2022-09-24 04:23:38.322,7.837,7.837,2022-09-24 04:23:40,1.5003150385678057,4350.577911363889,3.182218120244764,34.68471676410216,2.69076516365301,70.42461036087587,1.4031158091210187,3.0376589607118567,478927.9415844432,1141685.348617033,4279.215669023907,10.731455083260874,,,,,,
3,38,HG HTR20 D1 ND,2022-09-24 04:29:03.544000+00:00,4.0,HG,ROV,25.0,,-,2023.10.24,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.0_D1_Rev4.xlsx,2022-09-24 04:29:04,478930.9906636192,1141680.648926343,-4279.552895607711,1.23,0.745,74.305,2022-09-24 04:29:02.626,3.993,3.993,2022-09-24 04:29:04,1.5008098683860709,4351.37728341601,3.1822988325497272,34.684851763971494,0.1688493934538796,65.62809781033036,1.6846746164247457,3.0380486271515355,478944.5022054636,1141656.8252622045,4279.20675447611,10.714456027308737,,,,,,
4,39,HG HTR20 D1 NE,2022-09-24 04:29:39.744000+00:00,5.0,HG,ROV,49.0,,-,2023.10.24,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.0_D1_Rev4.xlsx,2022-09-24 04:29:40,478932.8848177695,1141676.5781698285,-4279.675038019338,3.08,0.35,149.0,2022-09-24 04:29:37.940,34.169,34.169,2022-09-24 04:29:40,1.501291682647974,4350.949861980323,3.18220893805751,34.68342156031382,27.59165781643397,1.5990186923018233,16.543495592990467,3.0349578565752644,478946.60153865087,1141653.2607789158,4279.190800152619,10.713710987034052,,,,,,
5,40,HG HTR20 D1 NF,2022-09-24 04:30:49.846000+00:00,6.0,HG,ROV,18.0,,-,2023.10.24,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.0_D1_Rev4.xlsx,2022-09-24 04:30:50,478935.4230678441,1141671.6610484037,-4279.938132551162,0.0,0.0,0.0,2022-09-24 04:30:50.041,10.267,10.267,2022-09-24 04:30:50,1.501981860050023,4352.14399340384,3.1821133462374185,34.681037613241074,21.88245662623025,5.02573990997177,11.973542873976768,3.0373546328769745,478950.3913319388,1141647.1226066172,4279.155881434504,10.697314166788468,,,,,,
6,41,HG HTR20 D1 NG,2022-09-24 04:31:16.274000+00:00,7.0,HG,ROV,29.0,,-,2023.10.24,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.0_D1_Rev4.xlsx,2022-09-24 04:31:16,478936.3046127319,1141668.5802075386,-4279.98009016275,1.015,-0.16,74.745,2022-09-24 04:31:14.267,17.962,17.962,2022-09-24 04:31:16,1.502476712263615,4351.569885689065,3.182223042831863,34.68208900711986,32.2646951247425,3.2954557106889446,13.65516988651954,3.037178213294003,478952.0532676244,1141644.5030169222,4279.148403378326,10.68369128312107,,,,,,
7,42,HG HTR20 D1 NH,2022-09-24 04:31:44.163000+00:00,8.0,HG,ROV,150.0,,-,2023.10.24,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.0_D1_Rev4.xlsx,2022-09-24 04:31:44,478938.2029007452,1141665.936282875,-4279.831822164245,0.0,0.0,0.0,2022-09-24 04:31:42.152,88.81,88.81,2022-09-24 04:31:44,1.5026590274177494,4352.507936037526,3.1821738046709336,34.68091156349388,64.54490798809796,0.0481653315022507,30.665261902653164,3.034774687439453,478953.1618909593,1141642.7406921426,4279.147202500951,10.680514913926975,,,,,,
8,43,HG HTR20 D1 NI,2022-09-24 04:31:54.465000+00:00,9.0,HG,ROV,50.0,,-,2023.10.24,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.0_D1_Rev4.xlsx,2022-09-24 04:31:54,478938.8523105844,1141664.5407235972,-4279.382516821106,0.0,0.0,0.0,2022-09-24 04:31:54.438,42.662,42.662,2022-09-24 04:31:54,1.5032710937150853,4352.027815683297,3.182266506115382,34.68159337595373,35.78569535362783,0.0285910582131685,32.83907793858941,3.038385265198012,478953.71239702415,1141641.8521878712,4279.147409419517,10.681668615794232,,,,,,
9,44,HG HTR20 D1 NJ,2022-09-24 04:33:03.893000+00:00,10.0,HG,ROV,12.0,,-,2023.10.24,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.0_D1_Rev4.xlsx,2022-09-24 04:33:04,478940.77272728,1141659.475818825,-4277.414678504218,0.85,0.05,74.665,2022-09-24 04:33:02.162,63.163,63.163,2022-09-24 04:33:04,1.501877681359332,4352.459862094825,3.1821877261474967,34.68192564520839,73.25857244220646,0.017988326848249,37.90248721547984,3.036987345536785,478957.3741070786,1141635.468091955,4279.149152128599,10.72208219581869,,,,,,
10,45,HG HTR21 D1 NA,2022-09-25 21:07:24.510000+00:00,1.0,HG,ROV,8.6,,-,2023.10.25,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.1_D1_Rev2.xlsx,2022-09-25 21:07:25,478545.0712864709,1142412.0832534342,-4285.389270253905,0.14,-0.05,75.785,2022-09-25 21:07:25.892,7.39,7.39,2022-09-25 21:07:25,1.50325807060851,4355.242931308938,3.182648198520455,34.6849468894176,3.485397802700847,54.122095292591744,2.457074210305126,3.004356226250299,478575.1615911242,1142379.5893345466,4286.46519183665,5.244575948313953,,,,,,
11,46,HG HTR21 D1 NB,2022-09-25 21:09:51.739000+00:00,2.0,HG,ROV,7.5,,-,2023.10.25,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.1_D1_Rev2.xlsx,2022-09-25 21:09:52,478550.044721962,1142406.190775009,-4285.847569409774,0.4,0.7,74.635,2022-09-25 21:09:49.921,1.739,1.739,2022-09-25 21:09:52,1.5028673894614428,4356.168986595199,3.182671699503332,34.685266616270816,4.533406500343329,24.68361165789273,5.596125582895361,3.0088688222363413,478575.212462161,1142379.4542216416,4286.452536435434,4.676258056913613,,,,,,
12,47,HG HTR21 D1 NC,2022-09-25 21:36:42.492000+00:00,3.0,HG,ROV,62.0,,-,2023.10.25,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.1_D1_Rev2.xlsx,2022-09-25 21:36:42,478572.3205151037,1142365.0847988983,-4284.960839584859,0.055,0.475,75.085,,,,2022-09-25 21:36:42,1.5051464219935156,4357.421407149701,3.182724678054829,34.68299501477354,38.12530395971618,0.5770785076676584,20.99422736012433,3.004835688339395,478595.6797817953,1142347.0849075462,4286.087379565029,10.194896609451524,,,,,,
13,48,HG HTR21 D1 ND,2022-09-25 21:45:50.373000+00:00,4.0,HG,ROV,13.0,,-,2023.10.25,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.1_D1_Rev2.xlsx,2022-09-25 21:45:50,478584.8934510835,1142348.2445775713,-4284.108603021606,1.095,1.605,66.785,2022-09-25 21:45:50.177,10.747,10.747,2022-09-25 21:45:50,1.50195581537281,4356.822929944519,3.182597621175685,34.685057021873604,7.810815518425269,33.66861089494164,4.3544362882464505,3.0030388914774484,478614.35227296775,1142318.855445958,4285.831817077499,11.800034220736768,,,,,,
14,49,HG HTR21 D1 NE,2022-09-25 22:22:06.314000+00:00,5.0,HG,ROV,9.6,,-,2023.10.25,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.1_D1_Rev2.xlsx,2022-09-25 22:22:06,478745.8326195223,1142057.489706203,-4285.304808859467,2.135,0.425,70.325,2022-09-25 22:22:05.986,13.387,13.387,2022-09-25 22:22:06,1.5047036277574648,4357.838979567856,3.1826752846725963,34.68268870559677,27.0818157473106,0.7536547646295872,19.56179931663844,3.002261781578877,478720.994883244,1142156.333869167,4283.421241949129,3.6004018916691987,,,,,,
15,51,HG HTR21 D1 NG,2022-09-25 22:22:53.089000+00:00,7.0,HG,ROV,100.0,,-,2023.10.25,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.1_D1_Rev2.xlsx,2022-09-25 22:22:53,478742.2565815037,1142064.8586842846,-4282.786492445763,2.58,1.525,66.205,2022-09-25 22:22:53.996,52.706,52.706,2022-09-25 22:22:53,1.5037529396433484,4357.49258961568,3.1824414965446546,34.680981583568006,57.11305859464408,0.0718175783932249,28.980954709491883,3.0024920942500906,478724.45111455646,1142148.3150679094,4283.420349097782,3.181820962957871,,,,,,
16,53,HG HTR21 D1 NI,2022-09-25 22:23:23.671000+00:00,9.0,HG,ROV,99.0,,-,2023.10.25,..\TSS_Results_2310.csv,HG_Niskin_logsheet_HTR2.1_D1_Rev2.xlsx,2022-09-25 22:23:24,478744.013866476,1142065.117928404,-4282.73251752521,3.715,0.66,65.8,2022-09-25 22:23:22.416,43.251,43.251,2022-09-25 22:23:24,1.5012005281240874,4355.099010005277,3.182351032814748,34.68355162771684,39.31236049439231,0.1227922484168764,26.83917938220111,3.001372324981888,478727.0612680845,1142142.2876456068,4283.41686434911,3.0195578265836,,,,,,
