code,name,type
2000,Anguilla 1957 / British West Indies Grid,Projected CRS
2001,Antigua 1943 / British West Indies Grid,Projected CRS
2002,Dominica 1945 / British West Indies Grid,Projected CRS
2003,Grenada 1953 / British West Indies Grid,Projected CRS
2004,Montserrat 1958 / British West Indies Grid,Projected CRS
2005,St. Kitts 1955 / British West Indies Grid,Projected CRS
2006,St. Lucia 1955 / British West Indies Grid,Projected CRS
2007,St. Vincent 45 / British West Indies Grid,Projected CRS
2009,NAD27(CGQ77) / SCoPQ zone 3,Projected CRS
2010,NAD27(CGQ77) / SCoPQ zone 4,Projected CRS
2011,NAD27(CGQ77) / SCoPQ zone 5,Projected CRS
2012,NAD27(CGQ77) / SCoPQ zone 6,Projected CRS
2013,NAD27(CGQ77) / SCoPQ zone 7,Projected CRS
2014,NAD27(CGQ77) / SCoPQ zone 8,Projected CRS
2015,NAD27(CGQ77) / SCoPQ zone 9,Projected CRS
2016,NAD27(CGQ77) / SCoPQ zone 10,Projected CRS
2017,NAD27(76) / MTM zone 8,Projected CRS
2018,NAD27(76) / MTM zone 9,Projected CRS
2019,NAD27(76) / MTM zone 10,Projected CRS
2020,NAD27(76) / MTM zone 11,Projected CRS
2021,NAD27(76) / MTM zone 12,Projected CRS
2022,NAD27(76) / MTM zone 13,Projected CRS
2023,NAD27(76) / MTM zone 14,Projected CRS
2024,NAD27(76) / MTM zone 15,Projected CRS
2025,NAD27(76) / MTM zone 16,Projected CRS
2026,NAD27(76) / MTM zone 17,Projected CRS
2027,NAD27(76) / UTM zone 15N,Projected CRS
2028,NAD27(76) / UTM zone 16N,Projected CRS
2029,NAD27(76) / UTM zone 17N,Projected CRS
2030,NAD27(76) / UTM zone 18N,Projected CRS
2031,NAD27(CGQ77) / UTM zone 17N,Projected CRS
2032,NAD27(CGQ77) / UTM zone 18N,Projected CRS
2033,NAD27(CGQ77) / UTM zone 19N,Projected CRS
2034,NAD27(CGQ77) / UTM zone 20N,Projected CRS
2035,NAD27(CGQ77) / UTM zone 21N,Projected CRS
2039,Israel 1993 / Israeli TM Grid,Projected CRS
2040,Locodjo 1965 / UTM zone 30N,Projected CRS
2041,Abidjan 1987 / UTM zone 30N,Projected CRS
2042,Locodjo 1965 / UTM zone 29N,Projected CRS
2043,Abidjan 1987 / UTM zone 29N,Projected CRS
2044,Hanoi 1972 / Gauss-Kruger zone 18,Projected CRS
2045,Hanoi 1972 / Gauss-Kruger zone 19,Projected CRS
2046,Hartebeesthoek94 / Lo15,Projected CRS
2047,Hartebeesthoek94 / Lo17,Projected CRS
2048,Hartebeesthoek94 / Lo19,Projected CRS
2049,Hartebeesthoek94 / Lo21,Projected CRS
2050,Hartebeesthoek94 / Lo23,Projected CRS
2051,Hartebeesthoek94 / Lo25,Projected CRS
2052,Hartebeesthoek94 / Lo27,Projected CRS
2053,Hartebeesthoek94 / Lo29,Projected CRS
2054,Hartebeesthoek94 / Lo31,Projected CRS
2055,Hartebeesthoek94 / Lo33,Projected CRS
2056,CH1903+ / LV95,Projected CRS
2057,Rassadiran / Nakhl e Taqi,Projected CRS
2058,ED50(ED77) / UTM zone 38N,Projected CRS
2059,ED50(ED77) / UTM zone 39N,Projected CRS
2060,ED50(ED77) / UTM zone 40N,Projected CRS
2061,ED50(ED77) / UTM zone 41N,Projected CRS
2062,Madrid 1870 (Madrid) / Spain LCC,Projected CRS
2065,S-JTSK (Ferro) / Krovak,Projected CRS
2066,Mount Dillon / Tobago Grid,Projected CRS
2067,Naparima 1955 / UTM zone 20N,Projected CRS
2068,ELD79 / Libya zone 5,Projected CRS
2069,ELD79 / Libya zone 6,Projected CRS
2070,ELD79 / Libya zone 7,Projected CRS
2071,ELD79 / Libya zone 8,Projected CRS
2072,ELD79 / Libya zone 9,Projected CRS
2073,ELD79 / Libya zone 10,Projected CRS
2074,ELD79 / Libya zone 11,Projected CRS
2075,ELD79 / Libya zone 12,Projected CRS
2076,ELD79 / Libya zone 13,Projected CRS
2077,ELD79 / UTM zone 32N,Projected CRS
2078,ELD79 / UTM zone 33N,Projected CRS
2079,ELD79 / UTM zone 34N,Projected CRS
2080,ELD79 / UTM zone 35N,Projected CRS
2081,Chos Malal 1914 / Argentina 2,Projected CRS
2082,Pampa del Castillo / Argentina 2,Projected CRS
2083,Hito XVIII 1963 / Argentina 2,Projected CRS
2084,Hito XVIII 1963 / UTM zone 19S,Projected CRS
2087,ELD79 / TM 12 NE,Projected CRS
2088,Carthage / TM 11 NE,Projected CRS
2089,Yemen NGN96 / UTM zone 38N,Projected CRS
2090,Yemen NGN96 / UTM zone 39N,Projected CRS
2093,Hanoi 1972 / GK 106 NE,Projected CRS
2094,WGS 72BE / TM 106 NE,Projected CRS
2095,Bissau / UTM zone 28N,Projected CRS
2096,Korean 1985 / East Belt,Projected CRS
2097,Korean 1985 / Central Belt,Projected CRS
2098,Korean 1985 / West Belt,Projected CRS
2099,Qatar 1948 / Qatar Grid,Projected CRS
2100,GGRS87 / Greek Grid,Projected CRS
2101,Lake / Maracaibo Grid M1,Projected CRS
2102,Lake / Maracaibo Grid,Projected CRS
2103,Lake / Maracaibo Grid M3,Projected CRS
2104,Lake / Maracaibo La Rosa Grid,Projected CRS
2105,NZGD2000 / Mount Eden 2000,Projected CRS
2106,NZGD2000 / Bay of Plenty 2000,Projected CRS
2107,NZGD2000 / Poverty Bay 2000,Projected CRS
2108,NZGD2000 / Hawkes Bay 2000,Projected CRS
2109,NZGD2000 / Taranaki 2000,Projected CRS
2110,NZGD2000 / Tuhirangi 2000,Projected CRS
2111,NZGD2000 / Wanganui 2000,Projected CRS
2112,NZGD2000 / Wairarapa 2000,Projected CRS
2113,NZGD2000 / Wellington 2000,Projected CRS
2114,NZGD2000 / Collingwood 2000,Projected CRS
2115,NZGD2000 / Nelson 2000,Projected CRS
2116,NZGD2000 / Karamea 2000,Projected CRS
2117,NZGD2000 / Buller 2000,Projected CRS
2118,NZGD2000 / Grey 2000,Projected CRS
2119,NZGD2000 / Amuri 2000,Projected CRS
2120,NZGD2000 / Marlborough 2000,Projected CRS
2121,NZGD2000 / Hokitika 2000,Projected CRS
