code,name,type
2309,WGS 84 / TM 116 SE,Projected CRS
2310,WGS 84 / TM 132 SE,Projected CRS
2311,WGS 84 / TM 6 NE,Projected CRS
3031,WGS 84 / Antarctic Polar Stereographic,Projected CRS
3032,WGS 84 / Australian Antarctic Polar Stereographic,Projected CRS
3033,WGS 84 / Australian Antarctic Lambert,Projected CRS
3204,WGS 84 / SCAR IMW SP19-20,Projected CRS
3205,WGS 84 / SCAR IMW SP21-22,Projected CRS
3206,WGS 84 / SCAR IMW SP23-24,Projected CRS
3207,WGS 84 / SCAR IMW SQ01-02,Projected CRS
3208,WGS 84 / SCAR IMW SQ19-20,Projected CRS
3209,WGS 84 / SCAR IMW SQ21-22,Projected CRS
3210,WGS 84 / SCAR IMW SQ37-38,Projected CRS
3211,WGS 84 / SCAR IMW SQ39-40,Projected CRS
3212,WGS 84 / SCAR IMW SQ41-42,Projected CRS
3213,WGS 84 / SCAR IMW SQ43-44,Projected CRS
3214,WGS 84 / SCAR IMW SQ45-46,Projected CRS
3215,WGS 84 / SCAR IMW SQ47-48,Projected CRS
3216,WGS 84 / SCAR IMW SQ49-50,Projected CRS
3217,WGS 84 / SCAR IMW SQ51-52,Projected CRS
3218,WGS 84 / SCAR IMW SQ53-54,Projected CRS
3219,WGS 84 / SCAR IMW SQ55-56,Projected CRS
3220,WGS 84 / SCAR IMW SQ57-58,Projected CRS
3221,WGS 84 / SCAR IMW SR13-14,Projected CRS
3222,WGS 84 / SCAR IMW SR15-16,Projected CRS
3223,WGS 84 / SCAR IMW SR17-18,Projected CRS
3224,WGS 84 / SCAR IMW SR19-20,Projected CRS
3225,WGS 84 / SCAR IMW SR27-28,Projected CRS
3226,WGS 84 / SCAR IMW SR29-30,Projected CRS
3227,WGS 84 / SCAR IMW SR31-32,Projected CRS
3228,WGS 84 / SCAR IMW SR33-34,Projected CRS
3229,WGS 84 / SCAR IMW SR35-36,Projected CRS
3230,WGS 84 / SCAR IMW SR37-38,Projected CRS
3231,WGS 84 / SCAR IMW SR39-40,Projected CRS
3232,WGS 84 / SCAR IMW SR41-42,Projected CRS
3233,WGS 84 / SCAR IMW SR43-44,Projected CRS
3234,WGS 84 / SCAR IMW SR45-46,Projected CRS
3235,WGS 84 / SCAR IMW SR47-48,Projected CRS
3236,WGS 84 / SCAR IMW SR49-50,Projected CRS
3237,WGS 84 / SCAR IMW SR51-52,Projected CRS
3238,WGS 84 / SCAR IMW SR53-54,Projected CRS
3239,WGS 84 / SCAR IMW SR55-56,Projected CRS
3240,WGS 84 / SCAR IMW SR57-58,Projected CRS
3241,WGS 84 / SCAR IMW SR59-60,Projected CRS
3242,WGS 84 / SCAR IMW SS04-06,Projected CRS
3243,WGS 84 / SCAR IMW SS07-09,Projected CRS
3244,WGS 84 / SCAR IMW SS10-12,Projected CRS
3245,WGS 84 / SCAR IMW SS13-15,Projected CRS
3246,WGS 84 / SCAR IMW SS16-18,Projected CRS
3247,WGS 84 / SCAR IMW SS19-21,Projected CRS
3248,WGS 84 / SCAR IMW SS25-27,Projected CRS
